artist_id|artist_name|artist_popularity|artist_genres|artist_added_ts
762310PdDnwsDxAQxzQkfX|Depeche Mode|74|dance rock, new romantic, new wave, permanent wave, rock, synthpop|2023-07-11, 08:27:31
748dDObrUoBetes0pLj788|Die Fantastischen Vier|51|german pop, german rock, oldschool deutschrap|2023-07-11, 08:27:31
4XaUmUGjidSklcDHxv3XWf|MS MR|40|indietronica, metropopolis|2023-07-11, 08:27:32
2ycnb8Er79LoH2AsR5ldjh|Pet Shop Boys|66|dance rock, new romantic, new wave, new wave pop, permanent wave, synthpop|2023-07-11, 08:27:32
0ZSqrPwtvermKlwdjEAmjn|Mia.|40|german indie pop, german pop|2023-07-11, 08:27:33
4aaBjq7VqqQvpSF69GglvO|Moloko|53|electronica, trip hop|2023-07-11, 08:27:33
77tT1kLj6mCWtFNqiOmP9H|Daryl Hall & John Oates|71|album rock, classic rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock|2023-07-11, 08:27:34
5a2EaR3hamoenG9rDuVn8j|Prince|70|funk, funk rock, minneapolis sound, rock, synth funk|2023-07-11, 08:27:34
0XNa1vTidXlvJ2gHSsRi4A|Franz Ferdinand|65|alternative rock, dance rock, indie rock, modern rock, rock, scottish rock|2023-07-11, 08:27:34
1yjuFciXmV3NaPCzwwHclC|The Bucketheads|46|classic house, disco house, vocal house|2023-07-11, 08:27:35
1aX2dmV8XoHYCOQRxjPESG|The Human League|61|new romantic, new wave, new wave pop, permanent wave, sophisti-pop, synthpop|2023-07-11, 08:27:36
1gALaWbNDnwS2ECV09sn2A|Nightcrawlers|62|disco house, hip house, uk dance, vocal house|2023-07-11, 08:27:37
3cQA9WH8liZfeja1DxcDYE|Armand Van Helden|61|big beat, deep house, disco house, filter house, house, speed garage, uk dance, vocal house|2023-07-11, 08:27:37
1cK2Abwkni7m51wJCSGllN|Ultra Naté|52|diva house, garage house, vocal house|2023-07-11, 08:27:38
4sf3QZW8a3xZ14IGsOAzoy|Cassius|46|alternative dance, electronica, filter house|2023-07-11, 08:27:40
6otgz5gkB40UnWFwTy0VDh|Madison Avenue|49|disco house, vocal house|2023-07-11, 08:27:41
2WvLeseDGPX1slhmxI59G3|Robin S|57|diva house|2023-07-11, 08:27:41
1HT9k1ZSUL9IczSstOAgWJ|Roger Sanchez|49|disco house, diva house, tribal house, vocal house|2023-07-11, 08:27:42
5UoVLCWzOKMIJ9iioof9OD|CeCe Peniston|50|diva house|2023-07-11, 08:27:42
3PUzVXdNnsJGPDTIU7xvqu|Livin' Joy|45|diva house|2023-07-11, 08:27:43
0AkpPlFLnr0VQwZQeMGht0|Modjo|59|disco house, filter house|2023-07-11, 08:27:43
6tsRo8ErXzpHk3tQeH6GBW|Black Box|51|diva house, eurodance, hip house, italo house|2023-07-11, 08:27:44
1KIT43QU793ZmRpuuQYrpy|Pete Heller's Big Love|33|classic house, disco house, uk house, vocal house|2023-07-11, 08:27:45
4eQJIXFEujzhTVVS1gIfu5|Deee-Lite|52|hip house|2023-07-11, 08:27:45
6wPhSqRtPu1UhRCDX5yaDJ|The Pussycat Dolls|67|dance pop, girl group, pop|2023-07-11, 08:27:47
4rC8J4M4aOqsQSCP4yoyJI|Felix Da Housecat|44|acid house, alternative dance, chicago house, electroclash, filter house, new rave|2023-07-11, 08:27:47
1KCSPY1glIKqW2TotWuXOR|P!nk|80|dance pop, pop|2023-07-11, 08:27:48
4tpUmLEVLCGFr93o8hFFIB|Blondie|68|candy pop, new wave pop, permanent wave, power pop, rock, synthpop|2023-07-11, 08:27:48
4C3uGP8vRDzxrhJxZiOjTe|Tiffany|54|new wave pop, soft rock|2023-07-11, 08:27:49
2B4ZHz4QDWJTXPFPgO5peE|Warren G|62|g funk, gangster rap, hardcore hip hop, hip hop, west coast rap|2023-07-11, 08:27:50
3q7HBObVc0L8jNeTe5Gofh|50 Cent|81|east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap|2023-07-11, 08:27:50
3VNITwohbvU5Wuy5PC6dsI|Kool & The Gang|66|disco, funk, motown, soul|2023-07-11, 08:27:51
6Q192DXotxtaysaqNPy5yR|Amy Winehouse|73|british soul, neo soul|2023-07-11, 08:27:51
5pKCCKE2ajJHZ9KAiaK11H|Rihanna|88|barbadian pop, pop, urban contemporary|2023-07-11, 08:27:52
3BmGtnKgCSGYIUhmivXKWX|Kelly Clarkson|73|dance pop, pop, talent show|2023-07-11, 08:27:53
3K2zB87GZv1krx031en5VA|La Roux|61|alternative dance, electropop, neo-synthpop|2023-07-11, 08:27:53
6jJ0s89eD6GaHleKKya26X|Katy Perry|82|pop|2023-07-11, 08:27:54
545idYhdloaSlLGBY8E9u2|Cameo|52|disco, funk, motown, new jack swing, p funk, popping, post-disco, quiet storm, soul|2023-07-11, 08:27:54
1HY2Jd0NmPuamShAr6KMms|Lady Gaga|83|art pop, dance pop, pop|2023-07-11, 08:27:55
18xgcedCGxFbqLbIQn5R8F|Miami Sound Machine|54|new romantic, new wave pop, soft rock, synthpop|2023-07-11, 08:27:55
1VBflYyxBhnDc9uVib98rw|Icona Pop|65|candy pop, dance pop, electropop, metropopolis, swedish electropop, swedish synthpop|2023-07-11, 08:27:56
0cQbJU1aAzvbEmTuljWLlF|No Doubt|66|dance pop, dance rock, permanent wave, pop rock, rock|2023-07-11, 08:27:56
31TPClRtHm23RisEBtV3X7|Justin Timberlake|77|dance pop, pop|2023-07-11, 08:27:57
7wqtxqI3eo7Gn1P7SpP6cQ|Salt-N-Pepa|59|girl group, golden age hip hop, hip hop, hip pop, old school hip hop, queens hip hop|2023-07-11, 08:27:58
6sFIWsNpZYqfjUpaCgueju|Carly Rae Jepsen|71|canadian pop, dance pop, pop|2023-07-11, 08:27:58
1G9G7WwrXka3Z1r7aIDjI7|Outkast|73|atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop|2023-07-11, 08:27:59
6tbjWDEIzxoDsBA1FuhfPW|Madonna|79|dance pop, pop|2023-07-11, 08:27:59
4YrKBkKSVeqDamzBPWVnSJ|Basement Jaxx|53|alternative dance, big beat, electronica, trip hop|2023-07-11, 08:28:00
08dJ0NJ9jMf8qdLmdhQ2yA|The Supermen Lovers|45|filter house|2023-07-11, 08:28:00
60FV7KyxIH9FH1uq7u8inP|The Shapeshifters|51|disco house, diva house, vocal house|2023-07-11, 08:28:01
2JyWXPbkqI5ZJa3gwqVa0c|Craig David|62|british soul|2023-07-11, 08:28:02
2eogQKWWoohI3BSnoG7E2U|Donna Summer|63|adult standards, disco, hi-nrg, new wave pop, soft rock|2023-07-11, 08:28:02
1moxjboGR7GNWYIMWsRjgG|Florence + The Machine|75|baroque pop, modern rock, neo mellow, uk alternative pop|2023-07-11, 08:28:02
4RVnAU35WRWra6OZ3CbbMA|Kylie Minogue|72|australian dance, australian pop, dance pop, eurodance, new wave pop|2023-07-11, 08:28:03
1XkoF8ryArs86LZvFOkbyr|Mary J. Blige|69|dance pop, neo soul, r&b, urban contemporary|2023-07-11, 08:28:04
07YZf4WDAMNwqr4jfgOZ8y|Jason Derulo|77|dance pop, pop|2023-07-11, 08:28:05
1XgFuvRd7r5g0h844A5ZUQ|Take That|62|boy band, europop, talent show|2023-07-11, 08:28:06
32lVGr0fSRGT6okLKHiP68|Taylor Dayne|54|hi-nrg, new romantic, new wave pop, soft rock, synthpop|2023-07-11, 08:28:06
7rZNSLWMjTbwdLNskFbzFf|Sugababes|56|dance pop, europop, girl group, talent show|2023-07-11, 08:28:07
6Tz0QRoe083BcOo2YbG9lV|Nena|60|german pop, new wave pop|2023-07-11, 08:52:23
0hLd40hVpRDGENe4KGZLnW|Falco|58|austropop, neue deutsche welle|2023-07-11, 08:52:23
353KPo8gVAfcZfwF7BPZDy|Münchener Freiheit|49|austropop, classic schlager, german pop, german pop rock, german rock, neue deutsche welle, schlager|2023-07-11, 08:52:24
3vQGJGekBpxyOrob92qTcE|Geier Sturzflug|44|austropop, classic schlager, german rock, neue deutsche welle, ostrock|2023-07-11, 08:52:24
130taNt2uNYJmou3IGnRHV|Joachim Witt|46|neue deutsche harte, neue deutsche welle|2023-07-11, 08:52:25
2ijskvLzfJbZvDXOfH6jRJ|Hubert Kah|42|classic schlager, german rock, neue deutsche welle|2023-07-11, 08:52:25
0dmPX6ovclgOy8WWJaFEUU|Kraftwerk|51|dusseldorf electronic, early synthpop, electro, new wave, proto-techno, synthpop|2023-07-11, 08:52:25
7ip3CWlgPZbQHvgJpmcGSS|Peter Schilling|53|neue deutsche welle, synthpop|2023-07-11, 08:52:26
47U0ujLT2qD3wSOGl5WDth|Spliff|36|german rock, neue deutsche welle|2023-07-11, 08:52:27
0YcKbZwjx2BEoKLzfqlmgH|Rio Reiser|39|german pop, german rock, kabarett, liedermacher, neue deutsche welle, ostrock|2023-07-11, 08:52:27
24PlSVIGWBTu65G4tEUwGj|Extrabreit|38|german pop, german rock, neue deutsche welle|2023-07-11, 08:52:29
2oIff3MArfKonx1PCiXj8O|Puhdys|41|classic schlager, german rock, neue deutsche harte, ostrock|2023-07-11, 08:52:30
2oNZUW4sR0AGXRyPExtFnW|Grauzone|34|minimal wave, neue deutsche welle|2023-07-11, 08:52:30
18yvjJdI9KYQ7uJAZ2z8fY|Karat|39|classic schlager, german pop, german rock, neue deutsche welle, ostrock|2023-07-11, 08:52:31
1UzZshvhiJj0LyztRWC2JH|Fehlfarben|31|german punk, neue deutsche welle|2023-07-11, 08:52:31
2MNSSjGwV9bjD3cIvV6FoD|Paso Doble|29|neue deutsche welle|2023-07-11, 08:52:32
14Oz8FdDXMirWulgEYaLaG|Ideal|34|german rock|2023-07-11, 08:52:33
7JRN2zE9GRXmVLj2UgNWtN|City|38|german rock, ostrock|2023-07-11, 08:52:34
6fbKH0yRUWAKoyKF80Thvm|Gänsehaut|26|neue deutsche welle|2023-07-11, 08:52:34
7L8pU3nSmkFOTLr9gguGgs|Ina Deter Band|26|german rock, neue deutsche welle|2023-07-11, 08:52:35
0jfrvp3QBlHvA6csq4lBzg|Udo Lindenberg & Das Panik-Orchester|34|german rock|2023-07-11, 08:52:35
417rMeQ1e1B90lsiS1iMZ1|Trio|37|german rock, neue deutsche welle, ostrock|2023-07-11, 08:52:36
7sbhauFwWAowzbg8yrm6wK|Andreas Dorau|29|neue deutsche welle|2023-07-11, 08:52:37
17v3lYLbmp9OhL8Sx3f1bq|Markus|35|classic schlager, german rock, neue deutsche welle, ostrock|2023-07-11, 08:52:37
5WNg2vE5LXT0H9ycDZ8vYj|Frl. Menke|25|classic schlager, neue deutsche welle, ostrock|2023-07-11, 08:52:38
1CPY50p5zbtBNTIYxCX3iS|Niko|23|super eurobeat|2023-07-11, 08:52:39
1LitShaQ8w2JzjvxjCEHjh|ZaZa|17||2023-07-11, 08:52:39
4a5zy0bdKmi3CBudahkbPU|Foyer Des Arts|18|neue deutsche welle|2023-07-11, 08:52:40
25em4XL8Iwef5J2Ek6flxj|Kim Merz|19||2023-07-11, 08:52:41
7Fpecqewj6p2NvxtPlq1IR|Lilli Berlin|13||2023-07-11, 08:52:42
4KtyUYo9zaM9YggIVc7uxx|DAF|35|dusseldorf electronic, ebm, industrial, neue deutsche welle, old school ebm|2023-07-11, 08:52:43
7LdEfCVOGOJ2jaAxsmnTeN|Spider Murphy Gang|48|austropop, classic schlager, german rock, neue deutsche welle|2023-07-11, 08:52:43
2SgRWgUTx5aYHUiUU1NQnt|Bärchen und die Milchbubis|14|german punk, neue deutsche welle|2023-07-11, 08:52:44
1mxX4tvd5lAxbcQXI5Ym12|Stahlnetz|9||2023-07-11, 08:52:45
1g1nVvle9qO9AWIUWYvPAP|Dschinghis Khan|47|classic schlager|2023-07-11, 08:52:45
3WrFJ7ztbogyGnTHbHJFl2|The Beatles|82|beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock|2023-07-13, 13:43:01
70cRZdQywnSFp9pnc2WTCE|Simon & Garfunkel|70|classic rock, folk, folk rock, melancholia, mellow gold, rock, soft rock|2023-07-13, 13:43:02
